WKT,ID,NAME,TAGS,WEBSITE,ADDRESS,PHONE,HOURS,CREATED_AT,UPDATED_AT,GEOMETRY_X,GEOMETRY_Y
"POINT (173.392571 -35.260487)",1056380,Baines Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"Main Road, Broadwood",(09) 409 5808,,2006-10-29 13:28:28,2007-10-09 00:41:38,173.392571,-35.260487
"POINT (174.956685000004825 -37.828996999996633)",1056040,Te Uku Four Square,"supermarket, groceries",http://www.foursquare.co.nz,"Main Road, Te Uku",(07) 825 5860,,2006-10-29 13:28:11,2007-05-15 21:01:11,174.956685,-37.828997
"POINT (174.844417000003574 -36.916242999997792)",1098400,T-Market Supermarket,Office & Wholesale,,"8 Arthur Brown Place, Mt Wellington, Auckland",(09) 573 0808,,2007-04-17 17:04:56,2007-04-17 17:04:56,174.844417,-36.916243
"POINT (172.021066999999874 -43.75512)",1054590,Rakaia Foodstore,"supermarket, groceries",,"Elizabeth Avenue, Rakaia",(03) 302 7307,,2006-10-29 13:27:00,2007-12-04 17:25:48,172.021067,-43.75512
"POINT (175.539200000019775 -37.138829999984708)",1028880,PAK 'n SAVE Thames,supermarket,http://www.paknsave.co.nz,"100 Mary Street, Thames",(07) 868 9565,7 days 8am-8pm,2006-08-31 11:40:20,2008-04-13 19:41:56,175.5392,-37.13883
"POINT (174.893117000003684 -41.117398999996652)",1030770,New World Whitby,"Supermarket, Lotto",http://www.newworld.co.nz,"Whitby Village Centre, Whitby",(04) 234 8961,"7am-9pm, 7 days a week",2006-08-31 14:05:16,2007-03-17 18:54:20,174.893117,-41.117399
"POINT (172.605182 -43.529213)",1098400,T-Market Supermarket Riccarton,Asian supermarket,,"62 Riccarton Rd, Riccarton, Christchurch",(03) 982 9080,,2007-04-17 17:04:58,2007-04-17 17:04:58,172.605182,-43.529213
"POINT (174.832128000003109 -41.129110999997252)",1055160,Elsdon Supermarket and Dairy Ltd,"supermarket, groceries",,"27 Awarua Street, Elsdon, Porirua",(04) 237 7299,,2006-10-29 13:27:28,2006-10-29 13:27:28,174.832128,-41.129111
"POINT (174.450531000001035 -36.67633599999948)",1123090,Helensville Superette,Supermarket,,"68 Commercial Road, Helensville",,,2008-06-12 17:23:23,2008-06-12 17:23:23,174.450531,-36.676336
"POINT (174.557072000001483 -36.776308999999202)",1123090,Kumeu Pricecutter,Supermarket,,"80 Main Road, Kumeu",,,2008-06-12 17:23:23,2008-06-12 17:23:23,174.557072,-36.776309
"POINT (174.494626000001205 -36.766771999999378)",1123090,Waimauku SuperValue,Supermarket,http://www.progressive.co.nz/,"5-19 Factory Road, Waimauku",(09) 411 7890,"Mon - Sun, 7am - 9pm",2008-06-12 17:23:23,2008-06-12 17:23:23,174.494626,-36.766772
